,questionType,asin,question,answerType,answer
133,yes/no,1617160822,Do you have to have internet access to use this? We have a computer with Windows XP but no internet. There are 4-5 of us wanting to study togethebe,?,"yes, the box version has a CD-ROM which loads onto your computer. I have used the computer version on my PC a few times and there's little difference from the internet version other than appearance. However, you will not be able to chat online with other learners, or play games online with other learners. You can still play games on the computer version. My version SEEMS to suggest that I can load up to five learners on one version, but I haven't tried. Thus a learner would logon and the program would take the learner to where he/she left off. Each learner can proceed at their own pace (I think.) Four or five learners might replace the online chat feature. Good luck!"
134,yes/no,1617160822,is this the correct choice for mexico,Y,"Yes, or the southwest where so many Spanish-speaking people live and work."
135,open-ended,1617160822,What product should my 21yo use to refresh her Spanish? Hasn't taken it in 2 yrs and has to take college level 2 class to meet a requirement. ugh.,,"I have used Rosetta Stone (pricey), duolingo.com & udemy.com. I think udemy is the best but there's no oral component and it starts off very slow for someone who already knows the basics. If you already speak well, then you could probably skip some and do fine. Duolingo is completely free, but I had trouble with the speaking part. If you don't need this, and are just looking for a review, this would probably be your best bet."
136,yes/no,1617160822,Is there a headset included in the box?,Y,yes
137,yes/no,1617160822,can it be used by more than one person?,?,If they have your login information yes
138,open-ended,1617160822,"I bought both the Spanish and French versions, but can't find either one after installing them. What am I doing wrong?",,Since I don't have your computer in front of me I can't say. The people at Rosetta can and will be able to help you. After installing my version I had to do a system recovery. It took out the program when I did it. The Rosetta folks re-installed it for me on line. They should help you too. The program is often a one time install to prevent it being passed around.
139,open-ended,1617160822,"This version is for people whose native language is English, and who want to learn Spanish, correct?",,Absolutely! It is for English speakers who want to learn Spanish
140,yes/no,1617160822,Can this program be used only with an iPad?,Y,Yes it is much cheaper that way
141,open-ended,1617160822,Would this be good for middle and high school students who are beginners to Spanish?,,Yes
142,open-ended,1617160822,Which Spanish version to choose for high school in USA?,,"I would choose something else. This is an immersion approach and will not follow normal Spanish classes which teach grammar. In addition, I did not like the user graphic interface."
143,open-ended,1617160407,Does the program help with becoming fluent to carry a conversation with locals? Beyond simply phrases?,,"Absolutely....but, you must seek to be as immersed in the language and culture as much as possible. Listen to music, news in Italian (RAI), watch movies and turn off the subtitles, go to Italian restaurants. The program is a lot of fun and I highly recommend it. But, like with all language learning, you must be intense and purposeful. Ciao!"
144,yes/no,1617160407,Do I need a special kind of monitor ?,?,Special monitor isn't needed.
145,open-ended,1617160407,"These are dvds? I don't need to go on internet to use them, do I? I only have slow, dial-up speed now and don't want to pay for high- speed service.",,"Please ensure that your system meets the minimum specification for the DVD install and use. If it is too old a system, it might be too slow to run in your PC. Please look at the specification in the ad or contact Rosetta Stone customer service directly. Merry Christmas!"
146,open-ended,1617160407,"Online Access 1. How much is it to extend your online subscription beyond the 3 month 'trial'? Also, wasn't it supposed to be a 15 month trial? I see reviews from earlier mentioning a 15 month free trial that needs to be activated within a 6-month...",,"1. Ours came with 15 months of online access. I'm not sure why you got only 3. 2. You look on their schedule and pick the earliest available time. Sometimes that's in a day or two, and sometimes it's not until a week or two away. I don't know about doing it more often, since we actually never got around to doing this. 3. I loved the online games, but I rarely played them against other people. As far as I know, you can't speak to the other players. I just remember trying to identify things more quickly by typing their names. Mostly I played on my own. The best one for me involved listening to stories and clicking words as you heard them. The words are arranged in a grid, and you try to make a ""bingo."" I listened to some of the stories over and over during the course of the year, and I definitely got better at parsing what they said. Understanding came even later, but I had to begin with just making sense of this flow of unfamiliar sounds. I'm afraid I can't look up the answers for you. We came across a big downside of the program: you only get two installs for $800. So when you have two hard drive crashes (in the month before we left for Italy -- and then we got a new computer, and *it's* new drive crashed within a week!) you're out of luck. It was very frustrating to suddenly lose our program. Several times while we were in Italy, I thought of times I would have liked to look something up or practice something on RS that came up in a conversation in the real world. But, no, the company was too concerned that we would give it away to all our friends, so we couldn't use it anymore after the computer trouble."
